name,study_hours,sleep_hours,attendance_pct,score,passed
Student_1,12.5,7.9,96.2,71.8,1
Student_2,24.0,7.2,83.9,90.5,1
Student_3,19.6,6.9,93.3,78.4,1
Student_4,17.0,6.6,96.4,81.6,1
Student_5,8.1,5.2,76.1,50.4,0
Student_6,8.1,6.1,68.9,55.9,0
Student_7,6.2,6.4,73.0,45.9,0
Student_8,22.3,8.3,79.9,95.8,1
Student_9,17.0,7.4,93.6,76.6,1
Student_10,19.2,4.9,95.1,84.1,1
Student_11,5.4,7.4,65.2,50.5,0
Student_12,24.4,6.5,82.9,87.4,1
Student_13,21.6,6.2,79.6,87.6,1
Student_14,9.2,7.7,72.8,63.7,1
Student_15,8.6,8.2,69.2,46.7,0
Student_16,8.7,8.1,76.8,58.0,0
Student_17,11.1,6.0,98.0,70.1,1
Student_18,15.5,6.6,76.3,75.9,1
Student_19,13.6,7.4,83.2,63.8,1
Student_20,10.8,8.2,89.6,59.1,0
Student_21,17.2,6.4,77.7,78.8,1
Student_22,7.8,6.8,99.0,63.3,1
Student_23,10.8,5.7,98.7,69.7,1
Student_24,12.3,5.6,73.8,66.0,1
Student_25,14.1,8.0,82.4,67.4,1
Student_26,20.7,8.6,75.5,84.4,1
Student_27,9.0,6.9,75.0,58.7,0
Student_28,15.3,8.2,66.3,64.9,1
Student_29,16.8,7.4,86.3,87.3,1
Student_30,5.9,6.2,82.6,55.2,0
Student_31,17.2,7.4,66.8,66.8,1
Student_32,8.4,8.8,74.8,59.2,0
Student_33,6.3,7.0,96.8,53.0,0
Student_34,24.0,8.9,73.4,93.7,1
Student_35,24.3,3.9,70.1,95.3,1
Student_36,21.2,8.0,82.1,82.1,1
Student_37,11.1,7.1,99.5,74.1,1
Student_38,7.0,6.6,73.5,54.4,0
Student_39,18.7,7.1,88.5,86.8,1
Student_40,13.8,4.6,91.7,82.3,1
Student_41,7.4,6.7,73.3,52.1,0
Student_42,14.9,7.4,90.5,71.2,1
Student_43,5.7,8.8,77.9,46.4,0
Student_44,23.2,6.4,87.1,88.1,1
Student_45,10.2,6.0,87.2,63.2,1
Student_46,18.3,6.4,83.8,82.0,1
Student_47,11.2,8.1,68.2,61.5,1
Student_48,15.4,7.4,94.2,81.3,1
Student_49,15.9,6.4,76.2,73.0,1
Student_50,8.7,7.6,71.5,62.9,1
