title,description,content,url,image,publishedat,sourcename,sourceurl,country
"Julio Velarde afirma que el Perú está cada vez peor: ""Es casi una vergüenza la situación de carencia por el ingreso per cápita""","El presidente del Banco Central de Reserva, Julio Velarde..... Remarcó que “que hay que contribuir fuertemente con el nuevo gobierno, (para el cual) se necesita gente buena"".","El presidente del Banco Central de Reserva del Perú (BCRP), Julio Velarde, advirtió que la desaceleración de la economía peruana responde, en gran parte, al menor dinamismo de la inversión en los últimos años, lo que limita la generación de empleo y ... [3193 chars]",https://larepublica.pe/economia/2026/04/24/julio-velarde-afirma-que-el-peru-esta-cada-vez-peor-es-casi-una-verguenza-la-situacion-de-carencia-por-el-ingreso-per-capita-hnews-1564080,https://imgmedia.larepublica.pe/1200x735/larepublica/original/2026/04/24/69ec1785e0f1b8a80705c1f7.jpg,2026-04-25T01:41:19Z,La República,https://larepublica.pe,Nepal
"Racing estalló contra el arbitraje: roja a los 5 minutos, gol y cánticos contra Claudio Chiqui Tapia",Adrián Fernández fue expulsado correctamente tras la intervención del VAR.Los hinchas reaccionaron con insultos contra el arbitraje y la AFA.El clima volvió a explotar tras el gol de Matías Zaracho.,"Aunque en el Cilindro de Avellaneda había mucho en juego por la pelea de Racing y Barracas Central por un lugar en los playoffs del Torneo Apertura, una de las escenas centrales del partido fue la temprana expulsión de Adrián Fernández, decidida por ... [744 chars]",https://www.clarin.com/deportes/racing-estallo-arbitraje-roja-5-minutos-gol-canticos-claudio-chiqui-tapia_0_3lgFIFdkYj.html,https://www.clarin.com/img/2026/04/24/mGaVM7YO2_2000x1500__1.jpg,2026-04-25T01:40:49Z,Clarin.com,https://www.clarin.com,Nepal
Victor Wembanyama (concussion) out for Game 3 vs. Blazers,The Spurs say Victor Wembanyama is not available for Friday night’s Game 3 against Portland in their 1st-round playoff series.,"PORTLAND, Ore. (AP) — The San Antonio Spurs said Victor Wembanyama is not available for Friday night’s Game 3 (10:30 ET, Prime Video) against Portland in the teams’ first-round playoff series while he continues to recover from a concussion.
Wembanyam... [1116 chars]",https://www.nba.com/news/spurs-victor-wembanyama-unavailable-for-game-3-against-portland-while-recovering-from-concussion,https://cdn.nba.com/manage/2026/04/GettyImages-2271894675-scaled-e1777080998629.jpg,2026-04-25T01:39:51Z,NBA,https://www.nba.com,Nepal
Popular venue Bar Bambi firebombed twice in a week,"CBD venue Bar Bambi is the target of a second arson, and police are still unable to establish a motive for almost 20 attacks across the city since early February.","April 25, 2026 — 11:39am
You have reached your maximum number of saved items.
Remove items from your saved list to add more.
Save this article for later
Add articles to your saved list and come back to them anytime.
Three men have been arrested over ... [3805 chars]",https://www.theage.com.au/national/victoria/it-s-become-a-war-zone-popular-melbourne-bar-firebombed-twice-in-a-week-20260425-p5zr01.html,https://static.ffx.io/images/$zoom_0.3026%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_110/t_crop_custom/q_86%2Cf_auto/7c45bb9601188a0486108d3e4ce606e6f32664e0,2026-04-25T01:39:47Z,The Age,https://www.theage.com.au,Nepal
WHO prequalifies first malaria treatment designed for youngest vulnerable patients,"Ahead of World Malaria Day on 25 April, the World Health Organization (WHO) has announced a significant step forward in the fight against malaria with the prequalification of the first treatment developed specifically for newborns and young infants weighing between two and five kilograms.","Ahead of World Malaria Day on 25 April, the World Health Organization (WHO) has announced a significant step forward in the fight against malaria with the prequalification of the first treatment developed specifically for newborns and young infants w... [3620 chars]",https://www.news-medical.net/news/20260424/WHO-prequalifies-first-malaria-treatment-designed-for-youngest-vulnerable-patients.aspx,https://www.news-medical.net/image-handler/picture/2014/7/Malaria_3-620x480.jpg,2026-04-25T01:39:00Z,News-Medical,https://www.news-medical.net,Nepal
Sechs Tote bei Luftangriffen im Südlibanon trotz Waffenruhe,"Trotz der Verlängerung der Feuerpause sind bei israelischen Angriffen im Libanon am Freitag nach libanesischen Angaben sechs Menschen getötet worden. Zwei weitere Menschen seien bei israelischen Luftangriffen im Südlibanon verletzt worden, teilte das Gesundheitsministerium in Beirut mit. Die israelische Armee hatte zuvor erklärt, sie habe sechs Hisbollah-Kämpfer bei einem Feuergefecht im südlibanesischen Dorf Bint Jbeil getötet.",US-Präsident Donald Trump hatte am Donnerstag eine Verlängerung der Waffenruhe für den Libanon um drei Wochen bekanntgegeben - sie wäre eigentlich am Sonntag ausgelaufen. Während dieser Zeit sollen Israel und die libanesische Regierung einen dauerhaf... [727 chars],https://www.sn.at/politik/weltpolitik/sechs-tote-bei-luftangriffen-im-suedlibanon-trotz-waffenruhe-art-647667,https://www.sn.at/storage/image/8/1/2/8/1118218_kriegsschaeden-im-suedlichen-libanon_metadaten_1FX1JV_lEm5N1.jpg,2026-04-25T01:39:00Z,Salzburger Nachrichten,https://www.sn.at,Nepal
Jada Pinkett Smith asks court for Bilaal Salaam to pay legal bills,"Jada Pinkett Smith has asked a judge to make Will Smith's former best friend, Bilaal Salaam, pay $49,000 in legal bills she racked up while fighting an emotional distress lawsuit he filed against her last year.","Jada Pinkett Smith is asking a judge to make Bilaal Salaam cover the $49,000 in legal fees she racked up fighting claims he made in a December lawsuit.
According to a motion filed April 20 and obtained by The Times, Pinkett Smith is asking that Salaa... [1623 chars]",https://www.latimes.com/entertainment-arts/story/2026-04-24/jada-pinkett-smith-asks-court-for-bilaal-salaam-to-pay-legal-bills,https://ca-times.brightspotcdn.com/dims4/default/c03da04/2147483647/strip/true/crop/3360x1764+0+394/resize/1200x630!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F27%2F97%2Fae66d85042ac8765f8813d7fb525%2F2155363380.jpg,2026-04-25T01:39:00Z,Los Angeles Times,https://www.latimes.com,Nepal
"Heated Rivalry, The Housemaid and Fourth Wing: TikTok launches BookTok bestseller list","The inaugural top 20 is entirely made up of female authors, with Chloe Walsh appearing most frequently.","If you've picked up a book recently, there's a good chance it's because someone on TikTok told you to.
What we read is no longer driven by bookshops or bestseller charts alone, but by a constant stream of fast, highly personal recommendations.
From r... [3941 chars]",https://www.bbc.com/news/articles/c5yxmy5gnd0o,https://ichef.bbci.co.uk/news/1024/branded_news/cffe/live/33a22000-3ff0-11f1-ac78-2112837ce2aa.jpg,2026-04-25T01:38:59Z,BBC,https://www.bbc.com,Nepal
"Aajache Rashibhavishya: आर्थिक संकटातून होईल सुटका, रखडलेली कामे लागणार मार्गी, ही चूक टाळा, आजचं राशीभविष्य",Aajache Rashibhavishya : मेष ते मीन राशींसाठी शुक्रवार खास असेल. ज्योतिषी अशोक पाटील यांनी आजचं राशीभविष्य सांगितलं आहे.,"2/ 13
वृषभ राशीच्या लोकांसाठी आजचा दिवस उत्तम असून अनेक चांगले बदल तुम्हाला दिवसभरात पाहायला मिळू शकतात. तुमच्या कामाविषयी वरिष्ठांकडून कौतुक होणार आहे. तुम्हाला प्रोमोशन मिळण्याचे देखील संकेत आहेत.
3/ 13
मिथुन राशीसाठी आजचा दिवस चांगला आहे. कामाच्या... [1818 chars]",https://news18marathi.com/photogallery/astrology/aajache-rashibhavishya-what-will-your-horoscope-be-like-on-25-april-see-in-martahi-l18w-local18-1675306.html,https://images.news18.com/news18marathi/uploads/2026/02/rashi-3-2026-02-a54033117abe4dfa6c539737e8866314-16x9.jpg,2026-04-25T01:37:00Z,News18 Marathi,https://news18marathi.com,Nepal
"Aajache Rashibhavishya: आर्थिक संकटातून होईल सुटका, रखडलेली कामे लागणार मार्गी, ही चूक टाळा, आजचं राशीभविष्य",Aajache Rashibhavishya : मेष ते मीन राशींसाठी शुक्रवार खास असेल. ज्योतिषी अशोक पाटील यांनी आजचं राशीभविष्य सांगितलं आहे.,"2/ 13
वृषभ राशीच्या लोकांसाठी आजचा दिवस उत्तम असून अनेक चांगले बदल तुम्हाला दिवसभरात पाहायला मिळू शकतात. तुमच्या कामाविषयी वरिष्ठांकडून कौतुक होणार आहे. तुम्हाला प्रोमोशन मिळण्याचे देखील संकेत आहेत.
3/ 13
मिथुन राशीसाठी आजचा दिवस चांगला आहे. कामाच्या... [1818 chars]",https://news18marathi.com/photogallery/astrology/aajache-rashibhavishya-what-will-your-horoscope-be-like-on-25-april-see-in-martahi-l18w-local18-1675306.html,https://images.news18.com/news18marathi/uploads/2026/02/rashi-3-2026-02-a54033117abe4dfa6c539737e8866314-16x9.jpg,2026-04-25T01:37:00Z,News18 Marathi,https://news18marathi.com,India
